16/08/08,Arsenal,West Brom,H
16/08/08,Bolton,Stoke,H
16/08/08,Everton,Blackburn,A
16/08/08,Hull,Fulham,H
16/08/08,Middlesbrough,Tottenham,H
16/08/08,Sunderland,Liverpool,A
16/08/08,West Ham,Wigan,H
17/08/08,Aston Villa,Man City,H
17/08/08,Chelsea,Portsmouth,H
17/08/08,Man United,Newcastle,D
23/08/08,Blackburn,Hull,D
23/08/08,Fulham,Arsenal,H
23/08/08,Liverpool,Middlesbrough,H
23/08/08,Newcastle,Bolton,H
23/08/08,Stoke,Aston Villa,H
23/08/08,Tottenham,Sunderland,A
23/08/08,West Brom,Everton,A
24/08/08,Man City,West Ham,H
24/08/08,Wigan,Chelsea,A
25/08/08,Portsmouth,Man United,A
30/08/08,Arsenal,Newcastle,H
30/08/08,Bolton,West Brom,D
30/08/08,Everton,Portsmouth,A
30/08/08,Hull,Wigan,A
30/08/08,Middlesbrough,Stoke,H
30/08/08,West Ham,Blackburn,H
31/08/08,Aston Villa,Liverpool,D
31/08/08,Chelsea,Tottenham,D
31/08/08,Sunderland,Man City,A
13/09/08,Blackburn,Arsenal,A
13/09/08,Fulham,Bolton,H
13/09/08,Liverpool,Man United,H
13/09/08,Man City,Chelsea,A
13/09/08,Newcastle,Hull,A
13/09/08,Portsmouth,Middlesbrough,H
13/09/08,West Brom,West Ham,H
13/09/08,Wigan,Sunderland,D
14/09/08,Stoke,Everton,A
15/09/08,Tottenham,Aston Villa,A
20/09/08,Blackburn,Fulham,H
20/09/08,Bolton,Arsenal,A
20/09/08,Liverpool,Stoke,D
20/09/08,Sunderland,Middlesbrough,H
20/09/08,West Ham,Newcastle,H
21/09/08,Chelsea,Man United,D
21/09/08,Hull,Everton,D
21/09/08,Man City,Portsmouth,H
21/09/08,Tottenham,Wigan,D
21/09/08,West Brom,Aston Villa,A
27/09/08,Arsenal,Hull,A
27/09/08,Aston Villa,Sunderland,H
27/09/08,Everton,Liverpool,A
27/09/08,Fulham,West Ham,A
27/09/08,Man United,Bolton,H
27/09/08,Middlesbrough,West Brom,A
27/09/08,Newcastle,Blackburn,A
27/09/08,Stoke,Chelsea,A
28/09/08,Portsmouth,Tottenham,H
28/09/08,Wigan,Man City,H
04/10/08,Blackburn,Man United,A
04/10/08,Sunderland,Arsenal,D
04/10/08,West Brom,Fulham,H
04/10/08,Wigan,Middlesbrough,A
05/10/08,Chelsea,Aston Villa,H
05/10/08,Everton,Newcastle,D
05/10/08,Man City,Liverpool,A
05/10/08,Portsmouth,Stoke,H
05/10/08,Tottenham,Hull,A
05/10/08,West Ham,Bolton,A
18/10/08,Arsenal,Everton,H
18/10/08,Aston Villa,Portsmouth,D
18/10/08,Bolton,Blackburn,D
18/10/08,Fulham,Sunderland,D
18/10/08,Liverpool,Wigan,H
18/10/08,Man United,West Brom,H
18/10/08,Middlesbrough,Chelsea,A
19/10/08,Hull,West Ham,H
19/10/08,Stoke,Tottenham,H
20/10/08,Newcastle,Man City,D
25/10/08,Blackburn,Middlesbrough,D
25/10/08,Everton,Man United,D
25/10/08,Sunderland,Newcastle,H
25/10/08,West Brom,Hull,A
26/10/08,Chelsea,Liverpool,A
26/10/08,Man City,Stoke,H
26/10/08,Portsmouth,Fulham,D
26/10/08,Tottenham,Bolton,H
26/10/08,West Ham,Arsenal,A
26/10/08,Wigan,Aston Villa,A
28/10/08,Newcastle,West Brom,H
29/10/08,Arsenal,Tottenham,D
29/10/08,Aston Villa,Blackburn,H
29/10/08,Bolton,Everton,A
29/10/08,Fulham,Wigan,H
29/10/08,Hull,Chelsea,A
29/10/08,Liverpool,Portsmouth,H
29/10/08,Man United,West Ham,H
29/10/08,Middlesbrough,Man City,H
29/10/08,Stoke,Sunderland,H
01/11/08,Chelsea,Sunderland,H
01/11/08,Everton,Fulham,H
01/11/08,Man United,Hull,H
01/11/08,Middlesbrough,West Ham,D
01/11/08,Portsmouth,Wigan,A
01/11/08,Stoke,Arsenal,H
01/11/08,Tottenham,Liverpool,H
01/11/08,West Brom,Blackburn,D
02/11/08,Bolton,Man City,H
03/11/08,Newcastle,Aston Villa,H
08/11/08,Arsenal,Man United,H
08/11/08,Hull,Bolton,A
08/11/08,Liverpool,West Brom,H
08/11/08,Sunderland,Portsmouth,A
08/11/08,West Ham,Everton,A
08/11/08,Wigan,Stoke,D
09/11/08,Aston Villa,Middlesbrough,A
09/11/08,Blackburn,Chelsea,A
09/11/08,Fulham,Newcastle,H
09/11/08,Man City,Tottenham,A
15/11/08,Arsenal,Aston Villa,A
