15/08/09,Aston Villa,Wigan,A
15/08/09,Blackburn,Man City,A
15/08/09,Bolton,Sunderland,A
15/08/09,Chelsea,Hull,H
15/08/09,Everton,Arsenal,A
15/08/09,Portsmouth,Fulham,A
15/08/09,Stoke,Burnley,H
15/08/09,Wolves,West Ham,A
16/08/09,Man United,Birmingham,H
16/08/09,Tottenham,Liverpool,H
18/08/09,Sunderland,Chelsea,A
18/08/09,Wigan,Wolves,A
19/08/09,Birmingham,Portsmouth,H
19/08/09,Burnley,Man United,H
19/08/09,Hull,Tottenham,A
19/08/09,Liverpool,Stoke,H
22/08/09,Arsenal,Portsmouth,H
22/08/09,Birmingham,Stoke,D
22/08/09,Hull,Bolton,H
22/08/09,Man City,Wolves,H
22/08/09,Sunderland,Blackburn,H
22/08/09,Wigan,Man United,A
23/08/09,Burnley,Everton,H
23/08/09,Fulham,Chelsea,A
23/08/09,West Ham,Tottenham,A
24/08/09,Liverpool,Aston Villa,A
29/08/09,Blackburn,West Ham,D
29/08/09,Bolton,Liverpool,A
29/08/09,Chelsea,Burnley,H
29/08/09,Man United,Arsenal,H
29/08/09,Stoke,Sunderland,H
29/08/09,Tottenham,Birmingham,H
29/08/09,Wolves,Hull,D
30/08/09,Aston Villa,Fulham,H
30/08/09,Everton,Wigan,H
30/08/09,Portsmouth,Man City,A
12/09/09,Blackburn,Wolves,H
12/09/09,Liverpool,Burnley,H
12/09/09,Man City,Arsenal,H
12/09/09,Portsmouth,Bolton,A
12/09/09,Stoke,Chelsea,A
12/09/09,Sunderland,Hull,H
12/09/09,Tottenham,Man United,A
12/09/09,Wigan,West Ham,H
13/09/09,Birmingham,Aston Villa,A
13/09/09,Fulham,Everton,H
19/09/09,Arsenal,Wigan,H
19/09/09,Aston Villa,Portsmouth,H
19/09/09,Bolton,Stoke,D
19/09/09,Burnley,Sunderland,H
19/09/09,Hull,Birmingham,A
19/09/09,West Ham,Liverpool,A
20/09/09,Chelsea,Tottenham,H
20/09/09,Everton,Blackburn,H
20/09/09,Man United,Man City,H
20/09/09,Wolves,Fulham,H
26/09/09,Birmingham,Bolton,A
26/09/09,Blackburn,Aston Villa,H
26/09/09,Fulham,Arsenal,A
26/09/09,Liverpool,Hull,H
26/09/09,Portsmouth,Everton,A
26/09/09,Stoke,Man United,A
26/09/09,Tottenham,Burnley,H
26/09/09,Wigan,Chelsea,H
27/09/09,Sunderland,Wolves,H
28/09/09,Man City,West Ham,H
03/10/09,Bolton,Tottenham,D
03/10/09,Burnley,Birmingham,H
03/10/09,Hull,Wigan,H
03/10/09,Man United,Sunderland,D
03/10/09,Wolves,Portsmouth,A
04/10/09,Arsenal,Blackburn,H
04/10/09,Chelsea,Liverpool,H
04/10/09,Everton,Stoke,D
04/10/09,West Ham,Fulham,D
05/10/09,Aston Villa,Man City,D
17/10/09,Arsenal,Birmingham,H
17/10/09,Aston Villa,Chelsea,H
17/10/09,Everton,Wolves,D
17/10/09,Man United,Bolton,H
17/10/09,Portsmouth,Tottenham,A
17/10/09,Stoke,West Ham,H
17/10/09,Sunderland,Liverpool,H
18/10/09,Blackburn,Burnley,H
18/10/09,Wigan,Man City,D
19/10/09,Fulham,Hull,H
24/10/09,Birmingham,Sunderland,H
24/10/09,Burnley,Wigan,A
24/10/09,Chelsea,Blackburn,H
24/10/09,Hull,Portsmouth,D
24/10/09,Tottenham,Stoke,A
24/10/09,Wolves,Aston Villa,D
25/10/09,Bolton,Everton,H
25/10/09,Liverpool,Man United,H
25/10/09,Man City,Fulham,D
25/10/09,West Ham,Arsenal,D
31/10/09,Arsenal,Tottenham,H
31/10/09,Bolton,Chelsea,A
31/10/09,Burnley,Hull,H
31/10/09,Everton,Aston Villa,D
31/10/09,Fulham,Liverpool,H
31/10/09,Man United,Blackburn,H
31/10/09,Portsmouth,Wigan,H
31/10/09,Stoke,Wolves,D
31/10/09,Sunderland,West Ham,D
01/11/09,Birmingham,Man City,D
04/11/09,West Ham,Aston Villa,H
07/11/09,Aston Villa,Bolton,H
07/11/09,Blackburn,Portsmouth,H
07/11/09,Man City,Burnley,D
07/11/09,Tottenham,Sunderland,H
07/11/09,Wolves,Arsenal,A
08/11/09,Chelsea,Man United,H
08/11/09,Hull,Stoke,H
08/11/09,West Ham,Everton,A
08/11/09,Wigan,Fulham,D
09/11/09,Liverpool,Birmingham,D
21/11/09,Birmingham,Fulham,H
21/11/09,Burnley,Aston Villa,D
21/11/09,Chelsea,Wolves,H
21/11/09,Hull,West Ham,D
21/11/09,Liverpool,Man City,D
21/11/09,Man United,Everton,H
21/11/09,Sunderland,Arsenal,H
22/11/09,Bolton,Blackburn,A
22/11/09,Stoke,Portsmouth,H
22/11/09,Tottenham,Wigan,H
25/11/09,Fulham,Blackburn,H
25/11/09,Hull,Everton,H
28/11/09,Aston Villa,Tottenham,D
28/11/09,Blackburn,Stoke,D
28/11/09,Fulham,Bolton,D
28/11/09,Man City,Hull,D
28/11/09,Portsmouth,Man United,A
28/11/09,West Ham,Burnley,H
28/11/09,Wigan,Sunderland,H
29/11/09,Arsenal,Chelsea,A
29/11/09,Everton,Liverpool,A
29/11/09,Wolves,Birmingham,A
05/12/09,Arsenal,Stoke,H
05/12/09,Aston Villa,Hull,H
05/12/09,Blackburn,Liverpool,D
05/12/09,Man City,Chelsea,H
05/12/09,Portsmouth,Burnley,H
05/12/09,West Ham,Man United,A
05/12/09,Wigan,Birmingham,A
05/12/09,Wolves,Bolton,H
06/12/09,Everton,Tottenham,D
06/12/09,Fulham,Sunderland,H
12/12/09,Birmingham,West Ham,H
12/12/09,Bolton,Man City,D
12/12/09,Burnley,Fulham,D
12/12/09,Chelsea,Everton,D
12/12/09,Hull,Blackburn,D
12/12/09,Man United,Aston Villa,A
12/12/09,Stoke,Wigan,D
12/12/09,Sunderland,Portsmouth,D
12/12/09,Tottenham,Wolves,A
13/12/09,Liverpool,Arsenal,A
15/12/09,Birmingham,Blackburn,H
15/12/09,Bolton,West Ham,H
15/12/09,Man United,Wolves,H
15/12/09,Sunderland,Aston Villa,A
16/12/09,Burnley,Arsenal,D
16/12/09,Chelsea,Portsmouth,H
16/12/09,Liverpool,Wigan,H
16/12/09,Tottenham,Man City,H
19/12/09,Arsenal,Hull,H
19/12/09,Aston Villa,Stoke,H
19/12/09,Blackburn,Tottenham,A
19/12/09,Fulham,Man United,H
19/12/09,Man City,Sunderland,H
19/12/09,Portsmouth,Liverpool,H
20/12/09,Everton,Birmingham,D
20/12/09,West Ham,Chelsea,D
20/12/09,Wolves,Burnley,H
26/12/09,Birmingham,Chelsea,D
26/12/09,Burnley,Bolton,D
26/12/09,Fulham,Tottenham,D
26/12/09,Liverpool,Wolves,H
26/12/09,Man City,Stoke,H
26/12/09,Sunderland,Everton,D
26/12/09,West Ham,Portsmouth,H
26/12/09,Wigan,Blackburn,D
27/12/09,Arsenal,Aston Villa,H
27/12/09,Hull,Man United,A
28/12/09,Blackburn,Sunderland,D
28/12/09,Chelsea,Fulham,H
28/12/09,Everton,Burnley,H
28/12/09,Stoke,Birmingham,A
28/12/09,Tottenham,West Ham,H
28/12/09,Wolves,Man City,A
29/12/09,Aston Villa,Liverpool,A
29/12/09,Bolton,Hull,D
30/12/09,Man United,Wigan,H
30/12/09,Portsmouth,Arsenal,A
05/01/10,Stoke,Fulham,H
09/01/10,Arsenal,Everton,D
09/01/10,Birmingham,Man United,D
11/01/10,Man City,Blackburn,H
16/01/10,Chelsea,Sunderland,H
16/01/10,Everton,Man City,H
16/01/10,Man United,Burnley,H
16/01/10,Stoke,Liverpool,D
16/01/10,Tottenham,Hull,D
16/01/10,Wolves,Wigan,A
17/01/10,Aston Villa,West Ham,D
17/01/10,Blackburn,Fulham,H
17/01/10,Bolton,Arsenal,A
20/01/10,Arsenal,Bolton,H
20/01/10,Liverpool,Tottenham,H
23/01/10,Man United,Hull,H
26/01/10,Bolton,Burnley,H
26/01/10,Portsmouth,West Ham,D
26/01/10,Tottenham,Fulham,H
26/01/10,Wolves,Liverpool,D
27/01/10,Aston Villa,Arsenal,D
27/01/10,Blackburn,Wigan,H
27/01/10,Chelsea,Birmingham,H
27/01/10,Everton,Sunderland,H
30/01/10,Birmingham,Tottenham,D
30/01/10,Burnley,Chelsea,A
30/01/10,Fulham,Aston Villa,A
30/01/10,Hull,Wolves,D
30/01/10,Liverpool,Bolton,H
30/01/10,West Ham,Blackburn,D
30/01/10,Wigan,Everton,A
31/01/10,Arsenal,Man United,A
31/01/10,Man City,Portsmouth,H
01/02/10,Sunderland,Stoke,D
02/02/10,Hull,Chelsea,D
03/02/10,Fulham,Portsmouth,H
06/02/10,Bolton,Fulham,D
06/02/10,Burnley,West Ham,H
06/02/10,Hull,Man City,H
06/02/10,Liverpool,Everton,H
06/02/10,Man United,Portsmouth,H
06/02/10,Stoke,Blackburn,H
06/02/10,Sunderland,Wigan,D
06/02/10,Tottenham,Aston Villa,D
07/02/10,Birmingham,Wolves,H
07/02/10,Chelsea,Arsenal,H
09/02/10,Fulham,Burnley,H
09/02/10,Man City,Bolton,H
09/02/10,Portsmouth,Sunderland,D
09/02/10,Wigan,Stoke,D
10/02/10,Arsenal,Liverpool,H
10/02/10,Aston Villa,Man United,D
10/02/10,Blackburn,Hull,H
10/02/10,Everton,Chelsea,H
10/02/10,West Ham,Birmingham,H
10/02/10,Wolves,Tottenham,H
16/02/10,Stoke,Man City,D
17/02/10,Wigan,Bolton,D
20/02/10,Arsenal,Sunderland,H
20/02/10,Everton,Man United,H
20/02/10,Portsmouth,Stoke,A
20/02/10,West Ham,Hull,H
20/02/10,Wolves,Chelsea,A
21/02/10,Aston Villa,Burnley,H
21/02/10,Blackburn,Bolton,H
21/02/10,Fulham,Birmingham,H
21/02/10,Man City,Liverpool,D
21/02/10,Wigan,Tottenham,A
23/02/10,Man United,West Ham,H
27/02/10,Birmingham,Wigan,H
27/02/10,Bolton,Wolves,H
27/02/10,Burnley,Portsmouth,A
27/02/10,Chelsea,Man City,A
27/02/10,Stoke,Arsenal,A
28/02/10,Liverpool,Blackburn,H
28/02/10,Sunderland,Fulham,D
28/02/10,Tottenham,Everton,H
06/03/10,Arsenal,Burnley,H
06/03/10,West Ham,Bolton,A
06/03/10,Wolves,Man United,A
07/03/10,Everton,Hull,H
08/03/10,Wigan,Liverpool,H
