14/08/04,Aston Villa,Southampton,H
14/08/04,Blackburn,West Brom,D
14/08/04,Bolton,Charlton,H
14/08/04,Man City,Fulham,D
14/08/04,Middlesbrough,Newcastle,D
14/08/04,Norwich,Crystal Palace,D
14/08/04,Portsmouth,Birmingham,D
14/08/04,Tottenham,Liverpool,D
15/08/04,Chelsea,Man United,H
15/08/04,Everton,Arsenal,A
21/08/04,Birmingham,Chelsea,A
21/08/04,Charlton,Portsmouth,H
21/08/04,Crystal Palace,Everton,A
21/08/04,Fulham,Bolton,H
21/08/04,Liverpool,Man City,H
21/08/04,Man United,Norwich,H
21/08/04,Newcastle,Tottenham,A
21/08/04,Southampton,Blackburn,H
22/08/04,Arsenal,Middlesbrough,H
22/08/04,West Brom,Aston Villa,D
24/08/04,Birmingham,Man City,H
24/08/04,Crystal Palace,Chelsea,A
25/08/04,Arsenal,Blackburn,H
25/08/04,Charlton,Aston Villa,H
25/08/04,Fulham,Middlesbrough,A
25/08/04,Newcastle,Norwich,D
25/08/04,Southampton,Bolton,A
25/08/04,West Brom,Tottenham,D
28/08/04,Aston Villa,Newcastle,H
28/08/04,Blackburn,Man United,D
28/08/04,Chelsea,Southampton,H
28/08/04,Everton,West Brom,H
28/08/04,Man City,Charlton,H
28/08/04,Middlesbrough,Crystal Palace,H
28/08/04,Norwich,Arsenal,A
28/08/04,Tottenham,Birmingham,H
29/08/04,Bolton,Liverpool,H
30/08/04,Man United,Everton,D
30/08/04,Portsmouth,Fulham,H
11/09/04,Aston Villa,Chelsea,D
11/09/04,Bolton,Man United,D
11/09/04,Fulham,Arsenal,A
11/09/04,Liverpool,West Brom,H
11/09/04,Man City,Everton,A
11/09/04,Middlesbrough,Birmingham,H
11/09/04,Newcastle,Blackburn,H
11/09/04,Portsmouth,Crystal Palace,H
12/09/04,Tottenham,Norwich,D
13/09/04,Charlton,Southampton,D
18/09/04,Arsenal,Bolton,D
18/09/04,Birmingham,Charlton,D
18/09/04,Blackburn,Portsmouth,H
18/09/04,Crystal Palace,Man City,A
18/09/04,Norwich,Aston Villa,D
18/09/04,West Brom,Fulham,D
19/09/04,Chelsea,Tottenham,D
19/09/04,Everton,Middlesbrough,H
19/09/04,Southampton,Newcastle,A
20/09/04,Man United,Liverpool,H
25/09/04,Aston Villa,Crystal Palace,D
